time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s);Altitude (m);
32,882317;0,2590;0,3352;0,6225;55,74820333;48,74322000;0,91466141;191,30000000;
32,983066;0,4398;0,3840;1,0896;55,74820333;48,74322000;0,91466141;191,30000000;
33,083828;0,3293;0,0244;1,3662;55,74820333;48,74322000;0,91466141;191,30000000;
33,184393;0,4437;-0,0029;1,1570;55,74820333;48,74322000;0,91466141;191,30000000;
33,284706;0,0518;-0,0098;0,5297;55,74820333;48,74322000;0,91466141;191,30000000;
33,388831;-0,0704;0,1720;0,3811;55,74820333;48,74322000;0,91466141;191,40000000;
33,485927;0,2687;0,5834;0,9714;55,74821333;48,74323167;0,92495584;191,40000000;
33,585742;-0,5414;0,2511;1,7150;55,74821333;48,74323167;0,92495584;191,40000000;
33,686538;-0,3498;-0,2384;1,2694;55,74821333;48,74323167;0,92495584;191,40000000;
33,787321;-0,0371;-0,0371;0,6489;55,74821333;48,74323167;0,92495584;191,40000000;
33,888379;0,0205;0,0831;0,4740;55,74821333;48,74323167;0,92495584;191,40000000;
